1.07388,0.0997575,0.0981319,1.0607,0.0666893,0.0627905,1.02317,-0.0402585,0.0273422,0.709321,0.0826629,0.0735991
2.14951,0.176663,0.273908,2.11512,0.199805,0.125581,2.24857,-0.103691,0.0141533,1.74597,0.16403,0.183488
3.17603,0.339378,0.246791,3.15911,0.398823,0.188372,3.37698,-0.202707,-0.0123578,2.61501,0.218744,0.20836
4.18413,0.544103,0.273178,4.18855,0.662958,0.251162,4.61449,-0.318716,-0.0282352,3.82016,0.173308,0.229228
4.98086,0.956222,0.473147,5.19939,0.991169,0.313953,5.75987,0.332562,0.344881,4.64716,0.884824,0.507171
5.84677,1.52483,0.451145,6.18765,1.38216,0.376743,6.61568,0.885228,0.486035,5.54219,1.4158,0.535994
6.94148,1.90724,0.51261,7.14942,1.8344,0.439534,7.38789,1.53226,0.619651,6.54643,1.91984,0.52568
7.83106,2.63736,0.505941,8.08092,2.34609,0.502324,8.26889,2.23927,0.678773,8.00984,2.33347,0.492391
8.83294,3.15211,0.565418,8.97848,2.91523,0.565115,8.86234,3.13871,0.867963,8.74333,3.04851,0.604491
9.51679,3.61206,0.488773,9.83855,3.53957,0.627905,9.23435,4.15611,1.08217,9.52242,3.81018,0.628762
10.5161,4.17388,0.558891,10.6578,4.21665,0.690696,9.51589,4.85973,1.17507,10.4533,4.12377,0.549768
11.51,4.83701,0.604656,11.4329,4.94379,0.753486,9.86547,5.9316,1.24448,11.6462,4.76184,0.591242
12.3942,5.63463,0.852609,12.1608,5.71814,0.816277,10.0529,7.04348,1.35868,12.0207,5.73484,0.857979
13.0202,6.45825,0.810707,12.8387,6.53664,0.879067,10.4023,8.2126,1.32605,13.1837,6.52376,0.79034
13.6717,7.38396,0.914177,13.4639,7.39607,0.941858,10.7203,9.19384,1.3229,13.7489,7.31511,0.892644
14.4071,8.28371,0.990759,14.034,8.29304,1.00465,11.1116,10.309,1.28881,14.1562,8.45878,1.07614
15.0216,9.30522,1.15404,14.5467,9.22401,1.06744,11.5414,10.9005,1.22864,14.3224,9.11243,1.1755
15.4819,10.3575,1.1902,14.9999,10.1853,1.13023,12.2553,11.9267,1.08333,15.0204,10.2664,1.13495
15.7947,11.3668,1.24128,15.3919,11.1732,1.19302,13.1278,12.7789,0.924276,15.4876,11.3598,1.17843
16.0063,12.5594,1.22174,15.7212,12.1837,1.25581,14.1947,13.3953,0.718084,15.9254,12.3283,1.19341
16.3598,13.522,1.08244,15.9864,13.2128,1.3186,15.4369,13.6729,0.453193,16.446,13.0209,1.10499
16.8574,14.4539,0.947009,16.1865,14.2566,1.38139,16.8066,14.1873,0.409139,17.1923,13.9453,0.988933
17.2696,15.3212,1.08833,16.3207,15.3109,1.44418,18.111,14.6281,0.381162,17.6588,14.7911,1.06312
17.7764,16.2094,1.22113,16.3885,16.3715,1.50697,19.4088,15.1833,0.425565,18.2183,15.7091,1.13961
18.0379,17.2436,1.27239,16.3896,17.4343,1.56976,20.4815,16.3211,0.744312,18.691,17.0888,1.22489
18.2249,18.2951,1.36179,16.324,18.4951,1.63255,21.021,16.9333,0.822948,18.5799,17.8947,1.38421
18.3023,19.357,1.33142,16.1919,19.5496,1.69534,21.44,18.0426,1.07108,18.7803,19.1229,1.36658
18.5457,20.5406,1.39953,15.994,20.5938,1.75813,21.5066,19.1927,1.3474,18.8095,20.2715,1.43025
18.7882,21.5331,1.23936,15.7309,21.6236,1.82092,21.1131,20.0803,1.69041,18.9503,20.9147,1.34398
18.9578,22.5043,1.33798,15.4038,22.6347,1.88372,20.4145,21.7469,1.94123,18.9802,22.4327,1.38621
19.2137,23.7165,1.33956,15.0138,23.6234,1.94651,19.6308,23.2578,2.0374,19.2644,23.5119,1.37713
19.3534,24.8809,1.60317,14.5625,24.5856,2.0093,18.975,24.7951,1.97752,19.507,24.6272,1.46216
19.3319,25.911,1.55221,14.0518,25.5177,2.07209,18.3565,26.1577,1.99123,19.5628,25.6473,1.53078
19.2068,27.0061,1.8021,13.4836,26.4158,2.13488,18.034,27.7251,1.80284,19.9339,26.87,1.54591
18.8568,28.2116,1.89796,12.8602,27.2765,2.19767,17.8134,28.6954,1.83225,19.6357,27.7779,1.78351
18.4399,29.2922,1.98978,12.1839,28.0964,2.26046,17.5176,29.43,1.93154,18.9937,28.6133,2.0107
17.8183,29.9814,1.99212,11.4576,28.8723,2.32325,17.0696,30.4028,1.99863,18.4259,29.674,1.9938
17.3541,30.9199,2.08692,10.684,29.601,2.38604,16.557,31.2434,2.09383,17.8676,30.546,2.05264
16.9474,31.8395,2.07687,9.86618,30.2798,2.44883,15.9788,32.0576,2.17499,17.5907,31.231,2.07137
16.3119,32.721,2.33387,9.0074,30.9059,2.51162,15.5294,33.3382,1.99779,17.3061,32.3943,2.0489
15.3507,33.3307,2.26529,8.11102,31.4769,2.57441,15.0124,33.6803,2.24237,16.5417,32.8429,2.29566
14.6112,34.1177,2.21467,7.18058,31.9905,2.6372,14.2403,34.3731,2.36414,15.7743,33.5984,2.29829
13.7858,34.7801,2.32217,6.21974,32.4447,2.69999,13.3846,35.1587,2.40993,15.2653,34.2573,2.28208
13.1098,35.4017,2.47843,5.2323,32.8378,2.76278,12.503,35.6739,2.54947,14.767,34.6069,2.42868
12.3344,35.8451,2.64311,4.22214,33.1681,2.82557,11.6238,36.2739,2.57231,13.9273,35.1646,2.56371
11.2997,36.3024,2.76953,3.19324,33.4343,2.88837,10.7356,36.5156,2.74965,13.2624,35.3216,2.7726
